randomized,unique_id,network_type,source_id,network_path,uncertainty,n_experiments,parameter_random_seed,sa_source_id,sa_source_path,sa_n,sa_m0,sa_target_stat,sa_target_value_requested,sa_seed,sa_degree_gini_mode,sa_connectivity_mode,sa_in_band_loss_mode,sa_target_in_band_loss_mode,sa_preserve_in_band_loss_mode,sa_feasible_preserve_weight,sa_feasible_selection_mode,sa_baseline_density,sa_baseline_degree_gini,sa_baseline_clustering,sa_baseline_triplets,sa_baseline_closed_triplets,sa_target_value_achieved,sa_achieved_density,sa_achieved_degree_gini,sa_achieved_clustering,sa_achieved_triplets,sa_achieved_closed_triplets,sa_target_error,sa_target_error_scaled,sa_preserve_center,sa_max_preserve_error_scaled,sa_edit_distance,sa_feasible,sa_delta_density,sa_delta_degree_gini,sa_delta_clustering,sa_preserve_error_degree_gini,sa_preserve_error_clustering,sa_preserve_error_scaled_degree_gini,sa_preserve_error_scaled_clustering,sa_attain_phase,sa_attain_seed,sa_attain_runtime_seconds,sa_attain_initial_temperature,sa_attain_final_temperature,sa_attain_best_energy,sa_attain_current_energy,sa_attain_n_proposals,sa_attain_n_accepted,sa_attain_acceptance_rate,sa_attain_found_feasible,sa_attain_stop_reason,sa_attain_first_feasible_accepted_step,sa_attain_best_feasible_edit_distance,sa_attain_best_overall_density,sa_attain_best_overall_degree_gini,sa_attain_best_overall_clustering,sa_attain_best_overall_edit_distance,sa_attain_degree_gini_mode,sa_attain_connectivity_mode,sa_attain_proposed_add_edge,sa_attain_proposed_delete_edge,sa_attain_proposed_source_rewire,sa_attain_proposed_target_rewire,sa_attain_proposed_double_edge_swap,sa_attain_proposed_density_repair,sa_attain_proposed_edge_repair,sa_attain_proposed_degree_preserving_repair,sa_attain_proposed_total,sa_attain_accepted_add_edge,sa_attain_accepted_delete_edge,sa_attain_accepted_source_rewire,sa_attain_accepted_target_rewire,sa_attain_accepted_double_edge_swap,sa_attain_accepted_density_repair,sa_attain_accepted_edge_repair,sa_attain_accepted_degree_preserving_repair,sa_attain_accepted_total,sa_compress_phase,sa_compress_seed,sa_compress_runtime_seconds,sa_compress_initial_temperature,sa_compress_final_temperature,sa_compress_best_energy,sa_compress_current_energy,sa_compress_n_proposals,sa_compress_n_accepted,sa_compress_acceptance_rate,sa_compress_found_feasible,sa_compress_stop_reason,sa_compress_first_feasible_accepted_step,sa_compress_best_feasible_edit_distance,sa_compress_best_overall_density,sa_compress_best_overall_degree_gini,sa_compress_best_overall_clustering,sa_compress_best_overall_edit_distance,sa_compress_degree_gini_mode,sa_compress_connectivity_mode,sa_compress_proposed_add_edge,sa_compress_proposed_delete_edge,sa_compress_proposed_source_rewire,sa_compress_proposed_target_rewire,sa_compress_proposed_double_edge_swap,sa_compress_proposed_density_repair,sa_compress_proposed_edge_repair,sa_compress_proposed_degree_preserving_repair,sa_compress_proposed_total,sa_compress_accepted_add_edge,sa_compress_accepted_delete_edge,sa_compress_accepted_source_rewire,sa_compress_accepted_target_rewire,sa_compress_accepted_double_edge_swap,sa_compress_accepted_density_repair,sa_compress_accepted_edge_repair,sa_compress_accepted_degree_preserving_repair,sa_compress_accepted_total,sa_compress_start_edit_distance,sa_compress_uncapped_best_feasible_edit_distance,sa_compress_edit_cap_applied,sa_compression_edit_improvement,sa_compression_improved_edit_distance,sa_grid_index,sa_seed_index,sa_saved_graph_path,sa_matrix_path,sa_preserve_error_density,sa_preserve_error_scaled_density,degree_gini_coefficient,approx_average_clustering_coefficient,average_degree,n_agents,share_of_correct_agents_at_convergence,share_of_core_agents_at_convergence,convergence_step,proportion_reached_by_truth
True,9592359ec8a34e5bb575746a8433565d,tobacco,tobacco_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v3/saved_graphs/tobacco_network/clustering/grid_013_seed_2130007.pkl,0.0007341478360993985,9538,1586349570,tobacco_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/tobacco_network.pkl,289,1229,clustering,0.2641114323542922,2130007,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.01476595540176855,0.7613132459225014,0.2992245129563079,10574,3164,0.2650489089541008,0.01476595540176855,0.7613132459225014,0.2650489089541008,10632,2818,0.0009374765998086398,0.7675900770424325,0.0,0.0,18,True,0.0,0.0,-0.034175604002207094,0.0,,0.0,,attain,2130007,0.06879949988797307,178.82561832997868,178.82561832997868,0.0039056143205858426,0.0039056143205858426,6,6,1.0,1,first_feasible,6,24,0.01476595540176855,0.7613132459225014,0.2652675363962942,24,out,weak,0,0,0,0,6,0,0,0,6,0,0,0,0,6,0,0,0,6,compress,12130007,14.39952891599387,0.05423381945118722,0.051028600721622054,0.07175855691482047,0.10105066431921429,600,513,0.855,1,compress_no_improvement_patience,0,18,0.01476595540176855,0.7612513056723191,0.265230655449755,14,out,weak,0,0,0,0,340,0,139,121,600,0,0,0,0,256,0,136,121,513,24,18,0,6.0,True,13,0,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v3/saved_graphs/tobacco_network/clustering/grid_013_seed_2130007.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v3/matrices/tobacco_network/clustering/grid_013_seed_2130007.npz,0.0,0.0,0.7613132459225014,0.2650489089541008,4.252595155709343,289,0.8858131487889274,0.9893617021276596,10000,0.8650519031141869
True,474b0cceb9874460b3fb34a7bf9392aa,tobacco,tobacco_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v3/saved_graphs/tobacco_network/degree_gini/grid_024_seed_1240007.pkl,0.00031385972422719345,6544,1251406878,tobacco_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/tobacco_network.pkl,289,1229,degree_gini,0.7582058449187361,1240007,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.01476595540176855,0.7613132459225014,0.2992245129563079,10574,3164,0.7605474391929747,0.01476595540176855,0.7605474391929747,0.2992245129563079,10574,3164,0.002341594274238634,0.9419424268871593,0.0,0.0,2,True,0.0,-0.0007658067295266413,0.0,,0.0,,0.0,attain,1240007,0.008324709022417665,0.4964346019972278,0.4964346019972278,0.0007880915457032574,0.0007880915457032574,1,1,1.0,1,first_feasible,1,2,0.01476595540176855,0.7603672493742626,0.2992997728993187,2,out,weak,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,compress,11240007,6.12887283298187,0.33889393123802697,0.3188652999018596,0.009764035801464606,0.009764035801464606,464,457,0.9849137931034483,1,compress_no_improvement_patience,0,2,0.01476595540176855,0.7605474391929747,0.2992245129563079,2,out,weak,0,0,238,0,0,0,226,0,464,0,0,231,0,0,0,226,0,457,2,2,0,0.0,False,24,0,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v3/saved_graphs/tobacco_network/degree_gini/grid_024_seed_1240007.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v3/matrices/tobacco_network/degree_gini/grid_024_seed_1240007.npz,0.0,0.0,0.7605474391929747,0.2992245129563079,4.252595155709343,289,0.8858131487889274,0.9893617021276596,10000,0.8650519031141869
True,f9b3690315d14546a3ab90d471e810eb,tobacco,tobacco_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v3/saved_graphs/tobacco_network/density/grid_004_seed_40007.pkl,5.4306255385395155e-05,7750,3258846047,tobacco_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/tobacco_network.pkl,289,1229,density,0.00858836181531436,40007,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.01476595540176855,0.7613132459225014,0.2992245129563079,10574,3164,0.008698577470203767,0.008698577470203767,0.761780955476113,0.29925043244282146,5203,1557,0.0001102156548894069,0.9143612693246556,0.024327751854534285,0.1559031845372131,505,True,-0.0060673779315647824,0.00046770955361163935,2.5919486513537038e-05,0.00046770955361163935,2.5919486513537038e-05,0.1559031845372131,0.004684965921963648,attain,40007,4.531523416982964,1.0,0.9409,0.10353424114658005,0.14300001429866283,505,505,1.0,1,first_feasible,505,505,0.008710592079969243,0.7610738575349003,0.29946215904725315,504,out,weak,0,505,0,0,0,0,0,0,505,0,505,0,0,0,0,0,0,505,compress,10040007,14.678985292091966,3.5476678565715516,3.0465031003201783,2.4894991272660763,2.535567438114909,1091,1087,0.9963336388634281,1,compress_no_improvement_patience,0,505,0.008686562860438294,0.7614562544568717,0.2992869531701677,506,out,weak,367,380,0,0,0,62,282,0,1091,367,376,0,0,0,62,282,0,1087,505,514,1,0.0,False,4,0,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v3/saved_graphs/tobacco_network/density/grid_004_seed_40007.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v3/matrices/tobacco_network/density/grid_004_seed_40007.npz,,,0.761780955476113,0.29925043244282146,2.505190311418685,289,0.657439446366782,0.7377049180327869,10000,0.8200692041522492
True,b5fc1f3271f94793b7146a2920170df3,tobacco,tobacco_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v3/saved_graphs/tobacco_network/density/grid_023_seed_230007.pkl,0.0004909907953147798,6442,1398715985,tobacco_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/tobacco_network.pkl,289,1229,density,0.014313936358857268,230007,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.01476595540176855,0.7613132459225014,0.2992245129563079,10574,3164,0.014429546328335256,0.014429546328335256,0.7613436323248504,0.2992156483005713,10327,3090,0.00011560996947798836,0.9591131000813761,0.00010515994794080888,0.010128800782993608,28,True,-0.0003364090734332935,3.0386402348980823e-05,-8.864655736628979e-06,3.0386402348980823e-05,8.864655736628979e-06,0.010128800782993608,0.0016022929317815004,attain,230007,0.416463625151664,1.0,1.0,0.0048194499105355055,0.0048194499105355055,28,28,1.0,1,first_feasible,28,28,0.014429546328335256,0.7613436323248504,0.2992156483005713,28,out,weak,0,28,0,0,0,0,0,0,28,0,28,0,0,0,0,0,0,28,compress,10230007,4.998823457863182,0.6701877216666535,0.6305796273161542,0.13753778080403095,0.19246390808091227,485,481,0.9917525773195877,1,compress_no_improvement_patience,0,28,0.014429546328335256,0.7613436323248504,0.2992156483005713,28,out,weak,159,170,0,0,0,16,140,0,485,158,167,0,0,0,16,140,0,481,28,37,1,0.0,False,23,0,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v3/saved_graphs/tobacco_network/density/grid_023_seed_230007.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v3/matrices/tobacco_network/density/grid_023_seed_230007.npz,,,0.7613436323248504,0.2992156483005713,4.155709342560554,289,0.8858131487889274,1.0,10000,0.8788927335640139
True,e741b472129b4d93b2f4c76e67794c3d,tobacco,tobacco_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v3/saved_graphs/tobacco_network/density/grid_007_seed_70007.pkl,0.0006936038629513449,8535,753063144,tobacco_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/tobacco_network.pkl,289,1229,density,0.009492399901136924,70007,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.01476595540176855,0.7613132459225014,0.2992245129563079,10574,3164,0.009611687812379853,0.009611687812379853,0.7611591695501729,0.2997534921939195,6085,1824,0.00011928791124292924,0.9896257119609497,0.011779643738050627,0.09561337954524103,429,True,-0.005154267589388696,-0.00015407637232844884,0.000528979237611582,0.00015407637232844884,0.000528979237611582,0.05135879077614961,0.09561337954524103,attain,70007,3.6859441669657826,1.0,0.9409,0.0992619653255985,0.0992619653255985,429,429,1.0,1,first_feasible,429,429,0.009611687812379853,0.7611591695501729,0.2997534921939195,429,out,weak,0,429,0,0,0,0,0,0,429,0,429,0,0,0,0,0,0,429,compress,10070007,9.788858958054334,1.1702343369186248,1.036000044489176,2.1059096960513615,2.1388007564523823,815,809,0.992638036809816,1,compress_no_improvement_patience,0,429,0.00959967320261438,0.7612283520490577,0.2991944764096663,430,out,weak,273,288,0,0,0,49,205,0,815,273,282,0,0,0,49,205,0,809,429,438,1,0.0,False,7,0,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v3/saved_graphs/tobacco_network/density/grid_007_seed_70007.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v3/matrices/tobacco_network/density/grid_007_seed_70007.npz,,,0.7611591695501729,0.2997534921939195,2.7681660899653977,289,0.8546712802768166,1.0,10000,0.8408304498269896
True,071af4f894c44987a32b878edcbff1a7,tobacco,tobacco_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v3/saved_graphs/tobacco_network/clustering/grid_019_seed_2190007.pkl,0.0001662452519593506,5648,3466683342,tobacco_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/tobacco_network.pkl,289,1229,clustering,0.2824313004944743,2190007,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.01476595540176855,0.7613132459225014,0.2992245129563079,10574,3164,0.28275344649723344,0.01476595540176855,0.7613132459225014,0.28275344649723344,10663,3015,0.0003221460027591494,0.26376773044498586,0.0,0.0,14,True,0.0,0.0,-0.01647106645907448,0.0,,0.0,,attain,2190007,0.038701958023011684,58.149631423882,58.149631423882,0.0026037428803905617,0.0026037428803905617,4,4,1.0,1,first_feasible,4,16,0.01476595540176855,0.7613132459225014,0.2815809379727685,16,out,weak,0,0,0,0,4,0,0,0,4,0,0,0,0,4,0,0,0,4,compress,12190007,10.912978082895279,0.05475033201738901,0.05151458739516132,0.032702413708962055,0.06875876502325097,504,426,0.8452380952380952,1,compress_no_improvement_patience,0,14,0.01476595540176855,0.7612513056723191,0.2829226847918437,6,out,weak,0,0,0,0,291,0,57,156,504,0,0,0,0,213,0,57,156,426,16,14,0,2.0,True,19,0,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v3/saved_graphs/tobacco_network/clustering/grid_019_seed_2190007.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v3/matrices/tobacco_network/clustering/grid_019_seed_2190007.npz,0.0,0.0,0.7613132459225014,0.28275344649723344,4.252595155709343,289,0.8650519031141869,0.9732620320855615,10000,0.8685121107266436
True,4d6063dd8cc242c680331c78ad1d19d8,tobacco,tobacco_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v3/saved_graphs/tobacco_network/density/grid_039_seed_390007.pkl,0.00029886593946609974,6339,697531604,tobacco_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/tobacco_network.pkl,289,1229,density,0.01913547281657761,390007,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.01476595540176855,0.7613132459225014,0.2992245129563079,10574,3164,0.019019127258746635,0.019019127258746635,0.7613811977170934,0.29920420050865537,12189,3647,0.00011634555783097619,0.9652156224572879,0.0005265294345447525,0.022650598197356448,354,True,0.004253171856978086,6.795179459206935e-05,-2.031244765254847e-05,6.795179459206935e-05,2.031244765254847e-05,0.022650598197356448,0.0036714895950642765,attain,390007,1.1586404999252409,1.0,0.97,0.058924134815003054,0.058924134815003054,354,354,1.0,1,first_feasible,354,354,0.019019127258746635,0.7613811977170934,0.29920420050865537,354,out,weak,354,0,0,0,0,0,0,0,354,354,0,0,0,0,0,0,0,354,compress,10390007,10.062175916973501,0.3940190664716912,0.3383575791537912,1.7324465723355933,1.7726130857942937,1200,1187,0.9891666666666666,1,compress_no_improvement_patience,0,354,0.019019127258746635,0.7613811977170934,0.29920420050865537,354,out,weak,611,589,0,0,0,0,0,0,1200,598,589,0,0,0,0,0,0,1187,354,363,1,0.0,False,39,0,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v3/saved_graphs/tobacco_network/density/grid_039_seed_390007.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v3/matrices/tobacco_network/density/grid_039_seed_390007.npz,,,0.7613811977170934,0.29920420050865537,5.477508650519031,289,0.9204152249134948,0.995575221238938,10000,0.9065743944636678
True,10afd97c4b724de2b2d7e907ceac5a2e,tobacco,tobacco_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v3/saved_graphs/tobacco_network/density/grid_032_seed_320007.pkl,0.0004999376140359464,7603,1246304982,tobacco_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/tobacco_network.pkl,289,1229,density,0.01702605061632496,320007,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.01476595540176855,0.7613132459225014,0.2992245129563079,10574,3164,0.016916570549788543,0.016916570549788543,0.7612751651462724,0.2992001406346137,11377,3404,0.00010948006653641734,0.9082587469487293,0.00018053407795793372,0.012693592076340465,179,True,0.0021506151480199936,-3.8080776229021396e-05,-2.4372321694221544e-05,3.8080776229021396e-05,2.4372321694221544e-05,0.012693592076340465,0.004405314762579433,attain,320007,0.7166689999867231,1.0,1.0,0.029401347038356018,0.029580708669264242,179,179,1.0,1,first_feasible,179,179,0.016904555940023068,0.761329290276251,0.2992001406346137,178,out,weak,179,0,0,0,0,0,0,0,179,179,0,0,0,0,0,0,0,179,compress,10320007,7.577118083136156,0.8802531187545364,0.7792817570134671,0.8753254768547456,0.9194962212065471,978,977,0.9989775051124744,1,compress_no_improvement_patience,0,179,0.016916570549788543,0.7612751651462724,0.2992001406346137,179,out,weak,493,483,0,0,0,1,1,0,978,492,483,0,0,0,1,1,0,977,179,188,1,0.0,False,32,0,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v3/saved_graphs/tobacco_network/density/grid_032_seed_320007.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v3/matrices/tobacco_network/density/grid_032_seed_320007.npz,,,0.7612751651462724,0.2992001406346137,4.8719723183391,289,0.8927335640138409,0.9802955665024631,10000,0.8788927335640139
True,a791b4f552a74fae9a9ba18a07143c87,tobacco,tobacco_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v3/saved_graphs/tobacco_network/density/grid_026_seed_260007.pkl,3.997220927363507e-05,4357,3541270109,tobacco_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/tobacco_network.pkl,289,1229,density,0.015217974444679832,260007,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.01476595540176855,0.7613132459225014,0.2992245129563079,10574,3164,0.015102364475201845,0.015102364475201845,0.7612787077487178,0.2992199981204774,10641,3184,0.00011560996947798663,0.9591131000813616,0.00013320878125174708,0.011512724594542334,28,True,0.0003364090734332952,-3.4538173783627e-05,-4.51483583052692e-06,3.4538173783627e-05,4.51483583052692e-06,0.011512724594542334,0.0008160598396975198,attain,260007,0.14803704200312495,1.0,1.0,0.00488957199381285,0.00488957199381285,28,28,1.0,1,first_feasible,28,28,0.015102364475201845,0.7612787077487178,0.2992199981204774,28,out,weak,28,0,0,0,0,0,0,0,28,28,0,0,0,0,0,0,0,28,compress,10260007,12.052306917030364,0.9903546182607614,0.7528983398838163,0.13776217147051845,0.18576972205342757,1811,1804,0.996134732192159,1,compress_no_improvement_patience,0,28,0.015102364475201845,0.7612787077487178,0.2992199981204774,28,out,weak,792,777,0,0,0,34,208,0,1811,786,776,0,0,0,34,208,0,1804,28,37,1,0.0,False,26,0,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v3/saved_graphs/tobacco_network/density/grid_026_seed_260007.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v3/matrices/tobacco_network/density/grid_026_seed_260007.npz,,,0.7612787077487178,0.2992199981204774,4.349480968858131,289,0.7820069204152249,0.8341968911917098,10000,0.9134948096885813
True,fe37e37f08e54304b9d3fe1feb62fa3c,tobacco,tobacco_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v3/saved_graphs/tobacco_network/density/grid_023_seed_230007.pkl,0.0006482972824754713,7721,780019948,tobacco_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/tobacco_network.pkl,289,1229,density,0.014313936358857268,230007,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.01476595540176855,0.7613132459225014,0.2992245129563079,10574,3164,0.014429546328335256,0.014429546328335256,0.7613436323248504,0.2992156483005713,10327,3090,0.00011560996947798836,0.9591131000813761,0.00010515994794080888,0.010128800782993608,28,True,-0.0003364090734332935,3.0386402348980823e-05,-8.864655736628979e-06,3.0386402348980823e-05,8.864655736628979e-06,0.010128800782993608,0.0016022929317815004,attain,230007,0.416463625151664,1.0,1.0,0.0048194499105355055,0.0048194499105355055,28,28,1.0,1,first_feasible,28,28,0.014429546328335256,0.7613436323248504,0.2992156483005713,28,out,weak,0,28,0,0,0,0,0,0,28,0,28,0,0,0,0,0,0,28,compress,10230007,4.998823457863182,0.6701877216666535,0.6305796273161542,0.13753778080403095,0.19246390808091227,485,481,0.9917525773195877,1,compress_no_improvement_patience,0,28,0.014429546328335256,0.7613436323248504,0.2992156483005713,28,out,weak,159,170,0,0,0,16,140,0,485,158,167,0,0,0,16,140,0,481,28,37,1,0.0,False,23,0,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v3/saved_graphs/tobacco_network/density/grid_023_seed_230007.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v3/matrices/tobacco_network/density/grid_023_seed_230007.npz,,,0.7613436323248504,0.2992156483005713,4.155709342560554,289,0.8719723183391004,0.9787234042553191,10000,0.8546712802768166
True,51074ffa1ac346a78d546d2442b4952e,tobacco,tobacco_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v3/saved_graphs/tobacco_network/clustering/grid_021_seed_2210007.pkl,0.0007108350503039126,5348,3413854421,tobacco_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/tobacco_network.pkl,289,1229,clustering,0.2885379232078683,2210007,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.01476595540176855,0.7613132459225014,0.2992245129563079,10574,3164,0.2886324947985625,0.01476595540176855,0.7613132459225014,0.2886324947985625,10574,3052,9.457159069420351e-05,0.0774336283186234,0.0,0.0,4,True,0.0,0.0,-0.010592018157745409,0.0,,0.0,,attain,2210007,0.011652958113700151,34.47930751798634,34.47930751798634,0.0006509357200976404,0.0006509357200976404,1,1,1.0,1,first_feasible,1,4,0.01476595540176855,0.7613132459225014,0.2886324947985625,4,out,weak,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,compress,12210007,9.004337208112702,0.054750332017389006,0.051514587395161314,0.01952807160292921,0.03905614320585842,477,400,0.8385744234800838,1,compress_no_improvement_patience,0,4,0.01476595540176855,0.7613132459225014,0.2886324947985625,4,out,weak,0,0,0,0,278,0,25,174,477,0,0,0,0,201,0,25,174,400,4,4,0,0.0,False,21,0,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v3/saved_graphs/tobacco_network/clustering/grid_021_seed_2210007.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v3/matrices/tobacco_network/clustering/grid_021_seed_2210007.npz,0.0,0.0,0.7613132459225014,0.2886324947985625,4.252595155709343,289,0.8823529411764706,1.0,10000,0.8615916955017301
True,8cddce5cc1ab4156876813c7c33602e5,tobacco,tobacco_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v3/saved_graphs/tobacco_network/density/grid_009_seed_90007.pkl,0.0008130421539441254,4049,2941311816,tobacco_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/tobacco_network.pkl,289,1229,density,0.010095091958351968,90007,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.01476595540176855,0.7613132459225014,0.2992245129563079,10574,3164,0.010212418300653595,0.010212418300653595,0.7611479747608385,0.2989329268292683,6560,1961,0.00011732634230162721,0.9733523189585085,0.00581270488306612,0.05509038722095738,379,True,-0.004553537101114955,-0.00016527116166287215,-0.0002915861270396114,0.00016527116166287215,0.0002915861270396114,0.05509038722095738,0.052704403221278354,attain,90007,3.2573846669401973,1.0,0.97,0.07620792168691673,0.07620792168691673,379,379,1.0,1,first_feasible,379,379,0.010212418300653595,0.7611479747608385,0.2989329268292683,379,out,weak,0,379,0,0,0,0,0,0,379,0,379,0,0,0,0,0,0,379,compress,10090007,4.91452975012362,1.226719242608181,1.1542201353700374,1.8673247022954267,1.9105682427852781,436,427,0.9793577981651376,1,compress_no_improvement_patience,0,379,0.01020040369088812,0.7614250023434856,0.29916094584286806,380,out,weak,142,160,0,0,0,27,107,0,436,142,151,0,0,0,27,107,0,427,379,388,1,0.0,False,9,0,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v3/saved_graphs/tobacco_network/density/grid_009_seed_90007.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v3/matrices/tobacco_network/density/grid_009_seed_90007.npz,,,0.7611479747608385,0.2989329268292683,2.9411764705882355,289,0.8373702422145328,0.9802631578947368,10000,0.8096885813148789
True,1d754c6ca056469ea3f4d7edb4e9a6cb,tobacco,tobacco_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v3/saved_graphs/tobacco_network/density/grid_021_seed_210007.pkl,0.0006758048375927505,3504,1871022430,tobacco_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/tobacco_network.pkl,289,1229,density,0.013711244301642226,210007,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.01476595540176855,0.7613132459225014,0.2992245129563079,10574,3164,0.013828815840061515,0.013828815840061515,0.7613298500777119,0.299077868852459,9760,2919,0.00011757153841928866,0.9753864930838029,0.0007332026156987557,0.026506027765256682,78,True,-0.0009371395617070351,1.660415521054226e-05,-0.00014664410384890303,1.660415521054226e-05,0.00014664410384890303,0.005534718403514087,0.026506027765256682,attain,210007,0.907827332848683,1.0,1.0,0.014526253081150877,0.014526253081150877,78,78,1.0,1,first_feasible,78,78,0.013828815840061515,0.7613298500777119,0.299077868852459,78,out,weak,0,78,0,0,0,0,0,0,78,0,78,0,0,0,0,0,0,78,compress,10210007,8.697283542016521,0.7163648344374798,0.6538068425405579,0.3866630171827097,0.4308143085715227,775,770,0.9935483870967742,1,compress_no_improvement_patience,0,78,0.013828815840061515,0.7613298500777119,0.299077868852459,78,out,weak,257,270,0,0,0,47,201,0,775,256,266,0,0,0,47,201,0,770,78,87,1,0.0,False,21,0,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v3/saved_graphs/tobacco_network/density/grid_021_seed_210007.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v3/matrices/tobacco_network/density/grid_021_seed_210007.npz,,,0.7613298500777119,0.299077868852459,3.982698961937716,289,0.8858131487889274,1.0,10000,0.8823529411764706
