randomized,unique_id,network_type,source_id,network_path,uncertainty,n_experiments,parameter_random_seed,sa_source_id,sa_source_path,sa_n,sa_m0,sa_target_stat,sa_target_value_requested,sa_seed,sa_degree_gini_mode,sa_connectivity_mode,sa_in_band_loss_mode,sa_target_in_band_loss_mode,sa_preserve_in_band_loss_mode,sa_feasible_preserve_weight,sa_feasible_selection_mode,sa_baseline_density,sa_baseline_degree_gini,sa_baseline_clustering,sa_baseline_triplets,sa_baseline_closed_triplets,sa_target_value_achieved,sa_achieved_density,sa_achieved_degree_gini,sa_achieved_clustering,sa_achieved_triplets,sa_achieved_closed_triplets,sa_target_error,sa_target_error_scaled,sa_preserve_center,sa_max_preserve_error_scaled,sa_edit_distance,sa_feasible,sa_delta_density,sa_delta_degree_gini,sa_delta_clustering,sa_preserve_error_degree_gini,sa_preserve_error_clustering,sa_preserve_error_scaled_degree_gini,sa_preserve_error_scaled_clustering,sa_attain_phase,sa_attain_seed,sa_attain_runtime_seconds,sa_attain_initial_temperature,sa_attain_final_temperature,sa_attain_best_energy,sa_attain_current_energy,sa_attain_n_proposals,sa_attain_n_accepted,sa_attain_acceptance_rate,sa_attain_found_feasible,sa_attain_stop_reason,sa_attain_first_feasible_accepted_step,sa_attain_best_feasible_edit_distance,sa_attain_best_overall_density,sa_attain_best_overall_degree_gini,sa_attain_best_overall_clustering,sa_attain_best_overall_edit_distance,sa_attain_degree_gini_mode,sa_attain_connectivity_mode,sa_attain_proposed_add_edge,sa_attain_proposed_delete_edge,sa_attain_proposed_source_rewire,sa_attain_proposed_target_rewire,sa_attain_proposed_double_edge_swap,sa_attain_proposed_density_repair,sa_attain_proposed_edge_repair,sa_attain_proposed_degree_preserving_repair,sa_attain_proposed_total,sa_attain_accepted_add_edge,sa_attain_accepted_delete_edge,sa_attain_accepted_source_rewire,sa_attain_accepted_target_rewire,sa_attain_accepted_double_edge_swap,sa_attain_accepted_density_repair,sa_attain_accepted_edge_repair,sa_attain_accepted_degree_preserving_repair,sa_attain_accepted_total,sa_compress_phase,sa_compress_seed,sa_compress_runtime_seconds,sa_compress_initial_temperature,sa_compress_final_temperature,sa_compress_best_energy,sa_compress_current_energy,sa_compress_n_proposals,sa_compress_n_accepted,sa_compress_acceptance_rate,sa_compress_found_feasible,sa_compress_stop_reason,sa_compress_first_feasible_accepted_step,sa_compress_best_feasible_edit_distance,sa_compress_best_overall_density,sa_compress_best_overall_degree_gini,sa_compress_best_overall_clustering,sa_compress_best_overall_edit_distance,sa_compress_degree_gini_mode,sa_compress_connectivity_mode,sa_compress_proposed_add_edge,sa_compress_proposed_delete_edge,sa_compress_proposed_source_rewire,sa_compress_proposed_target_rewire,sa_compress_proposed_double_edge_swap,sa_compress_proposed_density_repair,sa_compress_proposed_edge_repair,sa_compress_proposed_degree_preserving_repair,sa_compress_proposed_total,sa_compress_accepted_add_edge,sa_compress_accepted_delete_edge,sa_compress_accepted_source_rewire,sa_compress_accepted_target_rewire,sa_compress_accepted_double_edge_swap,sa_compress_accepted_density_repair,sa_compress_accepted_edge_repair,sa_compress_accepted_degree_preserving_repair,sa_compress_accepted_total,sa_compress_start_edit_distance,sa_compress_uncapped_best_feasible_edit_distance,sa_compress_edit_cap_applied,sa_compression_edit_improvement,sa_compression_improved_edit_distance,sa_grid_index,sa_seed_index,sa_saved_graph_path,sa_matrix_path,sa_preserve_error_density,sa_preserve_error_scaled_density,degree_gini_coefficient,approx_average_clustering_coefficient,average_degree,n_agents,share_of_correct_agents_at_convergence,share_of_core_agents_at_convergence,convergence_step,proportion_reached_by_truth
True,39a6043419584b7b8e0411b843fec1bb,ego_depletion,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/ego_network/clustering/grid_053_seed_2530007.pkl,6.88868562279616e-05,2865,480817349,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/ego_network.pkl,503,2933,clustering,0.44405967397908114,2530007,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.011615565570719112,0.9204303669967919,0.42169695658445117,55464,23389,0.4429305718281114,0.011615565570719112,0.9204303669967919,0.4429305718281114,52918.0,23439.0,0.0011291021509697297,0.44179084530029233,0.0,0.0,52.0,True,0.0,0.0,0.021233615243660242,0.0,,0.0,,attain,2530007,2.7387826670892537,32.882442715886356,32.882442715886356,0.02277531537674736,0.02277531537674736,91,91,1.0,1,first_feasible,91.0,334.0,0.011615565570719112,0.9204303669967919,0.4415095020013703,334,out,weak,0,0,0,0,91,0,0,0,91,0,0,0,0,91,0,0,0,91,compress,12530007.0,24.692972083110362,0.022941751806808908,0.021585894275026503,0.045534402626068816,0.0699298826835281,566.0,496.0,0.8763250883392226,1.0,compress_no_improvement_patience,0.0,52.0,0.011615565570719112,0.9204547688299118,0.44162061918098555,22.0,out,weak,0.0,0.0,0.0,0.0,258.0,0.0,136.0,172.0,566.0,0.0,0.0,0.0,0.0,189.0,0.0,135.0,172.0,496.0,334.0,52.0,0.0,282.0,True,53,0,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/ego_network/clustering/grid_053_seed_2530007.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/matrices/ego_network/clustering/grid_053_seed_2530007.npz,0.0,0.0,0.9204303669967919,0.4429305718281114,5.831013916500995,503,0.37773359840954274,0.3556581986143187,1000,0.0
True,42da0e2863af4064870bf00b21646b1f,ego_depletion,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/ego_network/clustering/grid_034_seed_2340007.pkl,0.00019418283088106837,5707,1561005939,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/ego_network.pkl,503,2933,clustering,0.3226620652653755,2340007,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.011615565570719112,0.9204303669967919,0.42169695658445117,55464,23389,0.3248452518745911,0.011615565570719112,0.9204303669967919,0.3248452518745911,59613.0,19365.0,0.002183186609215626,0.8542290497855125,0.0,0.0,94.0,True,0.0,0.0,-0.09685170470986004,0.0,,0.0,,attain,2340007,1.362570707919076,62.46083355898903,62.46083355898903,0.012683259461302422,0.012683259461302422,47,47,1.0,1,first_feasible,47.0,186.0,0.011615565570719112,0.9204303669967919,0.32510087908920593,186,out,weak,0,0,0,0,47,0,0,0,47,0,0,0,0,47,0,0,0,47,compress,12340007.0,61.93283462501131,0.02251690455112756,0.018755951128747648,0.1857846436378613,0.20046996844721826,1265.0,1140.0,0.9011857707509882,1.0,compress_no_improvement_patience,0.0,94.0,0.011615565570719112,0.9203869859601344,0.3250359336208023,90.0,out,weak,0.0,0.0,0.0,0.0,700.0,0.0,509.0,56.0,1265.0,0.0,0.0,0.0,0.0,581.0,0.0,503.0,56.0,1140.0,186.0,94.0,0.0,92.0,True,34,0,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/ego_network/clustering/grid_034_seed_2340007.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/matrices/ego_network/clustering/grid_034_seed_2340007.npz,0.0,0.0,0.9204303669967919,0.3248452518745911,5.831013916500995,503,0.8170974155069582,0.8064516129032258,1000,0.0
True,979efc7cafda44cfa40226b95335f334,ego_depletion,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/ego_network/degree_gini/grid_060_seed_1600007.pkl,0.00020510193454866527,5120,3971794771,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/ego_network.pkl,503,2933,degree_gini,0.7716846900290393,1600007,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.011615565570719112,0.9204303669967919,0.42169695658445117,55464,23389,0.7739651419813882,0.011615565570719112,0.7739651419813882,0.4215548472670402,50513.0,21294.0,0.0022804519523489386,0.9738464993096665,0.001818470739990501,0.042643531045054195,674.0,True,0.0,-0.1464652250154037,-0.00014210931741098776,,0.00014210931741098776,,0.042643531045054195,attain,1600007,8.892434041015804,14.562059736583851,14.125197944486336,0.05050594500544847,0.05050594500544847,337,337,1.0,1,first_feasible,337.0,674.0,0.011615565570719112,0.7739651419813882,0.4215548472670402,674,out,weak,0,0,337,0,0,0,0,0,337,0,0,337,0,0,0,0,0,337,compress,11600007.0,26.843244082992896,1.1449222223519375,1.0449395994406097,1.378793100867838,1.451699159860936,637.0,634.0,0.9952904238618524,1.0,compress_no_improvement_patience,0.0,674.0,0.011615565570719112,0.773986832499717,0.42169723590748104,674.0,out,weak,0.0,0.0,407.0,0.0,0.0,0.0,230.0,0.0,637.0,0.0,0.0,404.0,0.0,0.0,0.0,230.0,0.0,634.0,674.0,694.0,1.0,0.0,False,60,0,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/ego_network/degree_gini/grid_060_seed_1600007.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/matrices/ego_network/degree_gini/grid_060_seed_1600007.npz,0.0,0.0,0.7739651419813882,0.4215548472670402,5.831013916500995,503,0.9562624254473161,0.9583333333333334,1000,0.0
True,c7607388312b43d9b70b2b3e8f02524e,ego_depletion,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/ego_network/degree_gini/grid_070_seed_1700007.pkl,0.0004472934864429228,2127,3250259047,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/ego_network.pkl,503,2933,degree_gini,0.8302270772010805,1700007,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.011615565570719112,0.9204303669967919,0.42169695658445117,55464,23389,0.8325403867283854,0.011615565570719112,0.8325403867283854,0.42173076923076924,52000.0,21930.0,0.0023133095273049076,0.9878780312232049,0.0001029483840895431,0.010146348313040662,474.0,True,0.0,-0.08788998026840655,3.381264631807657e-05,,3.381264631807657e-05,,0.010146348313040662,attain,1700007,6.4486638330854475,0.0011638144727380913,0.0011289000385559485,0.032579225716446156,0.032579225716446156,237,237,1.0,1,first_feasible,237.0,474.0,0.011615565570719112,0.8325403867283854,0.42173076923076924,474,out,weak,0,0,237,0,0,0,0,0,237,0,0,237,0,0,0,0,0,237,compress,11700007.0,18.994609999936074,0.6722126983098357,0.6324849278397243,0.9696559804278287,1.0023921764438772,492.0,489.0,0.9939024390243902,1.0,compress_no_improvement_patience,0.0,474.0,0.011615565570719112,0.8325485206727585,0.42169764130978493,474.0,out,weak,0.0,0.0,328.0,0.0,0.0,0.0,164.0,0.0,492.0,0.0,0.0,325.0,0.0,0.0,0.0,164.0,0.0,489.0,474.0,486.0,1.0,0.0,False,70,0,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/ego_network/degree_gini/grid_070_seed_1700007.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/matrices/ego_network/degree_gini/grid_070_seed_1700007.npz,0.0,0.0,0.8325403867283854,0.42173076923076924,5.831013916500995,503,0.974155069582505,0.9768518518518519,1000,0.0
True,91c9000fc9134b84bc152ef947f185ff,ego_depletion,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/ego_network/degree_gini/grid_017_seed_1170007.pkl,0.0004273993329674052,8769,2146622046,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/ego_network.pkl,503,2933,degree_gini,0.519952425189262,1170007,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.011615565570719112,0.9204303669967919,0.42169695658445117,55464,23389,0.521926741630002,0.011615565570719112,0.521926741630002,0.42170654071259883,38956.0,16428.0,0.001974316440739976,0.8431140819975281,8.271160237867148e-06,0.0028759624889534196,1998.0,True,0.0,-0.39850362536678996,9.584128147666071e-06,,9.584128147666071e-06,,0.0028759624889534196,attain,1170007,26.53865100000985,206.09740332361557,182.45654932206696,0.13626343275910133,0.13626343275910133,999,999,1.0,1,first_feasible,999.0,1998.0,0.011615565570719112,0.521926741630002,0.42170654071259883,1998,out,weak,0,0,999,0,0,0,0,0,999,0,0,999,0,0,0,0,0,999,compress,11170007.0,22.168743166141212,0.5987133362067838,0.5633293780369628,4.087302584330638,4.103902542501928,452.0,452.0,1.0,1.0,compress_no_improvement_patience,0.0,1998.0,0.011615565570719112,0.522111111035797,0.421691695546143,1998.0,out,weak,0.0,0.0,442.0,0.0,0.0,0.0,10.0,0.0,452.0,0.0,0.0,442.0,0.0,0.0,0.0,10.0,0.0,452.0,1998.0,2000.0,1.0,0.0,False,17,0,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/ego_network/degree_gini/grid_017_seed_1170007.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/matrices/ego_network/degree_gini/grid_017_seed_1170007.npz,0.0,0.0,0.521926741630002,0.42170654071259883,5.831013916500995,503,0.9980119284294234,0.9976851851851852,1000,1.0
True,b1e2f9542409482ca2c607ea167b3161,ego_depletion,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/ego_network/degree_gini/grid_054_seed_1540007.pkl,6.491497384249813e-05,5509,3173711160,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/ego_network.pkl,503,2933,degree_gini,0.7365592577258144,1540007,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.011615565570719112,0.9204303669967919,0.42169695658445117,55464,23389,0.7387844769094265,0.011615565570719112,0.7387844769094265,0.42169928771149257,48997.0,20662.0,0.0022252191836120705,0.9502598421006971,4.893201443406028e-07,0.0006995142202561738,928.0,True,0.0,-0.18164589008736542,2.3311270413994833e-06,,2.3311270413994833e-06,,0.0006995142202561738,attain,1540007,12.482491249917075,11.641648107627317,10.953626704466542,0.06328114147288046,0.06328114147288046,464,464,1.0,1,first_feasible,464.0,928.0,0.011615565570719112,0.7387844769094265,0.42169928771149257,928,out,weak,0,0,464,0,0,0,0,0,464,0,0,464,0,0,0,0,0,464,compress,11540007.0,22.820432666921988,1.0848628008286834,0.9901249870207169,1.8983980843515942,1.931277685567885,607.0,607.0,1.0,1.0,compress_no_improvement_patience,0.0,928.0,0.011615565570719112,0.7387844769094265,0.4216960914379018,928.0,out,weak,0.0,0.0,537.0,0.0,0.0,0.0,70.0,0.0,607.0,0.0,0.0,537.0,0.0,0.0,0.0,70.0,0.0,607.0,928.0,938.0,1.0,0.0,False,54,0,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/ego_network/degree_gini/grid_054_seed_1540007.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/matrices/ego_network/degree_gini/grid_054_seed_1540007.npz,0.0,0.0,0.7387844769094265,0.42169928771149257,5.831013916500995,503,0.6540755467196819,0.6527777777777778,1000,1.0
True,069cb8470755426e94fddb36779aca27,ego_depletion,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/ego_network/density/grid_044_seed_440007.pkl,0.0009181076243890253,6878,1160543024,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/ego_network.pkl,503,2933,density,0.010712132692996517,440007,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.011615565570719112,0.9204303669967919,0.42169695658445117,55464,23389,0.010775981560834197,0.010775981560834197,0.9204135714927635,0.4217059448400677,50834.0,21437.0,6.384886783768022e-05,0.9717622132384602,3.861786622939313e-05,0.005598501342814662,212.0,True,-0.0008395840098849149,-1.6795504028443986e-05,8.988255616515506e-06,1.6795504028443986e-05,8.988255616515506e-06,0.005598501342814662,0.002697155713690917,attain,440007,4.3698099160101265,1.0,0.97,0.014552732868778392,0.014552732868778392,212,212,1.0,1,first_feasible,212.0,212.0,0.010775981560834197,0.9204135714927635,0.4217059448400677,212,out,weak,0,212,0,0,0,0,0,0,212,0,212,0,0,0,0,0,0,212,compress,10440007.0,16.61039570788853,0.46509824356454205,0.41174813097131785,0.43399458902598237,0.4694235193809732,824.0,821.0,0.9963592233009708,1.0,compress_no_improvement_patience,0.0,212.0,0.010775981560834197,0.9204135714927635,0.4217059448400677,212.0,out,weak,274.0,292.0,0.0,0.0,0.0,46.0,212.0,0.0,824.0,273.0,290.0,0.0,0.0,0.0,46.0,212.0,0.0,821.0,212.0,228.0,1.0,0.0,False,44,0,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/ego_network/density/grid_044_seed_440007.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/matrices/ego_network/density/grid_044_seed_440007.npz,,,0.9204135714927635,0.4217059448400677,5.409542743538767,503,1.0,1.0,1000,1.0
True,3a8e58cc33c2482b98f22ed1ff2857d9,ego_depletion,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/ego_network/clustering/grid_039_seed_2390007.pkl,0.0009473978513683451,7529,1745837051,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/ego_network.pkl,503,2933,clustering,0.3546088044005612,2390007,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.011615565570719112,0.9204303669967919,0.42169695658445117,55464,23389,0.35713675870430134,0.011615565570719112,0.9204303669967919,0.35713675870430134,58563.0,20915.0,0.002527954303740143,0.9891284573062611,0.0,0.0,52.0,True,0.0,0.0,-0.06456019788014983,0.0,,0.0,,attain,2390007,0.6165818329900503,23.909807661575734,23.909807661575734,0.0070917149676099555,0.0070917149676099555,26,26,1.0,1,first_feasible,26.0,104.0,0.011615565570719112,0.9204303669967919,0.35601254415687406,104,out,weak,0,0,0,0,26,0,0,0,26,0,0,0,0,26,0,0,0,26,compress,12390007.0,58.29192033293657,0.022753704660851696,0.018953198990911968,0.09005106859002909,0.10244771111429836,1227.0,1068.0,0.8704156479217604,1.0,compress_no_improvement_patience,0.0,52.0,0.011615565570719112,0.9204371452837696,0.35697431177307337,44.0,out,weak,0.0,0.0,0.0,0.0,668.0,0.0,420.0,139.0,1227.0,0.0,0.0,0.0,0.0,520.0,0.0,409.0,139.0,1068.0,104.0,52.0,0.0,52.0,True,39,0,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/ego_network/clustering/grid_039_seed_2390007.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/matrices/ego_network/clustering/grid_039_seed_2390007.npz,0.0,0.0,0.9204303669967919,0.35713675870430134,5.831013916500995,503,1.0,1.0,1000,1.0
True,a4f8f3ec5beb433c9207edfb0d2e74f4,ego_depletion,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/ego_network/clustering/grid_032_seed_2320007.pkl,0.000779336868051463,2105,2456445858,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/ego_network.pkl,503,2933,clustering,0.30988336961130125,2320007,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.011615565570719112,0.9204303669967919,0.42169695658445117,55464,23389,0.3123230517061541,0.011615565570719112,0.9204303669967919,0.3123230517061541,60399.0,18864.0,0.0024396820948528464,0.9545896392308997,0.0,0.0,122.0,True,0.0,0.0,-0.10937390487829707,0.0,,0.0,,attain,2320007,1.8032483751885593,20.882875900817975,20.882875900817975,0.015547221275144905,0.015547221275144905,57,57,1.0,1,first_feasible,57.0,228.0,0.011615565570719112,0.9204303669967919,0.3124369687364933,228,out,weak,0,0,0,0,57,0,0,0,57,0,0,0,0,57,0,0,0,57,compress,12320007.0,82.53425529203378,0.022353501760480482,0.017519408564955423,0.22317060395457836,0.24965386191003433,1627.0,1445.0,0.8881376767055931,1.0,compress_no_improvement_patience,0.0,122.0,0.011615565570719112,0.9203802076731564,0.3124169663977188,108.0,out,weak,0.0,0.0,0.0,0.0,949.0,0.0,639.0,39.0,1627.0,0.0,0.0,0.0,0.0,775.0,0.0,631.0,39.0,1445.0,228.0,122.0,0.0,106.0,True,32,0,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/ego_network/clustering/grid_032_seed_2320007.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/matrices/ego_network/clustering/grid_032_seed_2320007.npz,0.0,0.0,0.9204303669967919,0.3123230517061541,5.831013916500995,503,0.9602385685884692,0.9655172413793104,1000,0.0
True,67645cb4ff4646beba0c7241f5fe8001,ego_depletion,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/ego_network/clustering/grid_055_seed_2550007.pkl,0.0007594695607013822,2197,4099167276,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/ego_network.pkl,503,2933,clustering,0.45683836963315544,2550007,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.011615565570719112,0.9204303669967919,0.42169695658445117,55464,23389,0.4558103975535168,0.011615565570719112,0.9204303669967919,0.4558103975535168,52320.0,23848.0,0.0010279720796386171,0.40222105114103135,0.0,0.0,82.0,True,0.0,0.0,0.034113440969065656,0.0,,0.0,,attain,2550007,4.418335082940757,60.17484941584705,60.17484941584705,0.03614047050801227,0.03614047050801227,157,157,1.0,1,first_feasible,157.0,530.0,0.011615565570719112,0.9204303669967919,0.4543192064923354,530,out,weak,0,0,0,0,157,0,0,0,157,0,0,0,0,157,0,0,0,157,compress,12550007.0,50.22906970907934,0.021221120421298527,0.01822329816924616,0.14336145131204275,0.17608671855470373,1055.0,911.0,0.8635071090047394,1.0,compress_no_improvement_patience,0.0,82.0,0.011615565570719112,0.9204439235707473,0.4543822456502225,70.0,out,weak,0.0,0.0,0.0,0.0,516.0,0.0,327.0,212.0,1055.0,0.0,0.0,0.0,0.0,372.0,0.0,327.0,212.0,911.0,530.0,82.0,0.0,448.0,True,55,0,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/ego_network/clustering/grid_055_seed_2550007.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/matrices/ego_network/clustering/grid_055_seed_2550007.npz,0.0,0.0,0.9204303669967919,0.4558103975535168,5.831013916500995,503,0.9940357852882704,1.0,1000,1.0
True,6a1b730a76644bacb80dc1b22cdcec4d,ego_depletion,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/ego_network/density/grid_077_seed_770007.pkl,0.0003413585756506056,6659,1812783648,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/ego_network.pkl,503,2933,density,0.016132729959332105,770007,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.011615565570719112,0.9204303669967919,0.42169695658445117,55464,23389,0.01607090524581594,0.01607090524581594,0.9203105663701381,0.4217080591523385,70665.0,29800.0,6.182471351616481e-05,0.9409551410063792,0.0016057874134226442,0.039933542217947725,1125.0,True,0.004455339675096828,-0.00011980062665384317,1.1102567887333326e-05,0.00011980062665384317,1.1102567887333326e-05,0.039933542217947725,0.003331609123236233,attain,770007,6.5819625000003725,1.0,0.8587340256999999,0.0807277314043374,0.0807277314043374,1125,1125,1.0,1,first_feasible,1125.0,1125.0,0.01607090524581594,0.9203105663701381,0.4217080591523385,1125,out,weak,1125,0,0,0,0,0,0,0,1125,1125,0,0,0,0,0,0,0,1125,compress,10770007.0,32.93718062504195,0.28995944292343506,0.23428225556442864,2.313506908363417,2.3321621827588834,1439.0,1433.0,0.9958304378040306,1.0,compress_no_improvement_patience,0.0,1125.0,0.01607882584968278,0.9203380701015582,0.42167208940444195,1127.0,out,weak,730.0,709.0,0.0,0.0,0.0,0.0,0.0,0.0,1439.0,724.0,709.0,0.0,0.0,0.0,0.0,0.0,0.0,1433.0,1125.0,1140.0,1.0,0.0,False,77,0,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/ego_network/density/grid_077_seed_770007.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/matrices/ego_network/density/grid_077_seed_770007.npz,,,0.9203105663701381,0.4217080591523385,8.067594433399602,503,0.9940357852882704,0.9959016393442623,1000,0.0
True,f51c9908cf324aa1a7356e41b9766e16,ego_depletion,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/ego_network/clustering/grid_066_seed_2660007.pkl,3.186371704379693e-05,4141,1945022203,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/ego_network.pkl,503,2933,clustering,0.5271211957305639,2660007,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.011615565570719112,0.9204303669967919,0.42169695658445117,55464,23389,0.5246385241814858,0.011615565570719112,0.9204303669967919,0.5246385241814858,48136.0,25254.0,0.002482671549078108,0.9714103912814249,0.0,0.0,256.0,True,0.0,0.0,0.10294156759703466,0.0,,0.0,,attain,2660007,86.25723558291793,221.38273456835128,153.6047192365312,0.1344747343092666,0.13460620525059666,2497,2497,1.0,1,first_feasible,2497.0,1974.0,0.011615565570719112,0.9204303669967919,0.5245629244328854,1972,out,weak,0,0,0,0,2497,0,0,0,2497,0,0,0,0,2497,0,0,0,2497,compress,12660007.0,137.89956637495197,0.01147087590340461,0.007958979619503929,0.435686813690188,0.470588058977883,2476.0,2090.0,0.8441033925686591,1.0,compress_no_improvement_patience,0.0,256.0,0.011615565570719112,0.9204778150056363,0.5246571895835954,212.0,out,weak,0.0,0.0,0.0,0.0,1176.0,0.0,1107.0,193.0,2476.0,0.0,0.0,0.0,0.0,806.0,0.0,1091.0,193.0,2090.0,1974.0,256.0,0.0,1718.0,True,66,0,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/ego_network/clustering/grid_066_seed_2660007.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/matrices/ego_network/clustering/grid_066_seed_2660007.npz,0.0,0.0,0.9204303669967919,0.5246385241814858,5.831013916500995,503,0.05168986083499006,0.03800475059382423,1000,0.007952286282306162
