randomized,unique_id,network_type,source_id,network_path,uncertainty,n_experiments,parameter_random_seed,sa_source_id,sa_source_path,sa_n,sa_m0,sa_target_stat,sa_target_value_requested,sa_seed,sa_degree_gini_mode,sa_connectivity_mode,sa_in_band_loss_mode,sa_target_in_band_loss_mode,sa_preserve_in_band_loss_mode,sa_feasible_preserve_weight,sa_feasible_selection_mode,sa_baseline_density,sa_baseline_degree_gini,sa_baseline_clustering,sa_baseline_triplets,sa_baseline_closed_triplets,sa_target_value_achieved,sa_achieved_density,sa_achieved_degree_gini,sa_achieved_clustering,sa_achieved_triplets,sa_achieved_closed_triplets,sa_target_error,sa_target_error_scaled,sa_preserve_center,sa_max_preserve_error_scaled,sa_edit_distance,sa_feasible,sa_delta_density,sa_delta_degree_gini,sa_delta_clustering,sa_preserve_error_degree_gini,sa_preserve_error_clustering,sa_preserve_error_scaled_degree_gini,sa_preserve_error_scaled_clustering,sa_attain_phase,sa_attain_seed,sa_attain_runtime_seconds,sa_attain_initial_temperature,sa_attain_final_temperature,sa_attain_best_energy,sa_attain_current_energy,sa_attain_n_proposals,sa_attain_n_accepted,sa_attain_acceptance_rate,sa_attain_found_feasible,sa_attain_stop_reason,sa_attain_first_feasible_accepted_step,sa_attain_best_feasible_edit_distance,sa_attain_best_overall_density,sa_attain_best_overall_degree_gini,sa_attain_best_overall_clustering,sa_attain_best_overall_edit_distance,sa_attain_degree_gini_mode,sa_attain_connectivity_mode,sa_attain_proposed_add_edge,sa_attain_proposed_delete_edge,sa_attain_proposed_source_rewire,sa_attain_proposed_target_rewire,sa_attain_proposed_double_edge_swap,sa_attain_proposed_density_repair,sa_attain_proposed_edge_repair,sa_attain_proposed_degree_preserving_repair,sa_attain_proposed_total,sa_attain_accepted_add_edge,sa_attain_accepted_delete_edge,sa_attain_accepted_source_rewire,sa_attain_accepted_target_rewire,sa_attain_accepted_double_edge_swap,sa_attain_accepted_density_repair,sa_attain_accepted_edge_repair,sa_attain_accepted_degree_preserving_repair,sa_attain_accepted_total,sa_compress_phase,sa_compress_seed,sa_compress_runtime_seconds,sa_compress_initial_temperature,sa_compress_final_temperature,sa_compress_best_energy,sa_compress_current_energy,sa_compress_n_proposals,sa_compress_n_accepted,sa_compress_acceptance_rate,sa_compress_found_feasible,sa_compress_stop_reason,sa_compress_first_feasible_accepted_step,sa_compress_best_feasible_edit_distance,sa_compress_best_overall_density,sa_compress_best_overall_degree_gini,sa_compress_best_overall_clustering,sa_compress_best_overall_edit_distance,sa_compress_degree_gini_mode,sa_compress_connectivity_mode,sa_compress_proposed_add_edge,sa_compress_proposed_delete_edge,sa_compress_proposed_source_rewire,sa_compress_proposed_target_rewire,sa_compress_proposed_double_edge_swap,sa_compress_proposed_density_repair,sa_compress_proposed_edge_repair,sa_compress_proposed_degree_preserving_repair,sa_compress_proposed_total,sa_compress_accepted_add_edge,sa_compress_accepted_delete_edge,sa_compress_accepted_source_rewire,sa_compress_accepted_target_rewire,sa_compress_accepted_double_edge_swap,sa_compress_accepted_density_repair,sa_compress_accepted_edge_repair,sa_compress_accepted_degree_preserving_repair,sa_compress_accepted_total,sa_compress_start_edit_distance,sa_compress_uncapped_best_feasible_edit_distance,sa_compress_edit_cap_applied,sa_compression_edit_improvement,sa_compression_improved_edit_distance,sa_grid_index,sa_seed_index,sa_saved_graph_path,sa_matrix_path,sa_preserve_error_density,sa_preserve_error_scaled_density,degree_gini_coefficient,approx_average_clustering_coefficient,average_degree,n_agents,share_of_correct_agents_at_convergence,share_of_core_agents_at_convergence,convergence_step,proportion_reached_by_truth
True,7916e0ab1f194c02899e41d0c2684497,ego_depletion,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/ego_network/density/grid_005_seed_50007.pkl,0.0009875115117925716,7532,2658166973,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/ego_network.pkl,503,2933,density,0.004305972287327186,50007,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.011615565570719112,0.9204303669967919,0.42169695658445117,55464,23389,0.004368213032561603,0.004368213032561603,0.9206736011852727,0.42130982367758185,19850.0,8363.0,6.224074523441658e-05,0.9472870293702188,0.020068916362175636,0.1161691184885477,1830.0,True,-0.007247352538157509,0.00024323418848082312,-0.0003871329068693141,0.00024323418848082312,0.0003871329068693141,0.08107806282694104,0.1161691184885477,attain,50007,29.843234417028725,1.0,0.7602310586545651,0.15402777565277723,0.1749591985085758,1830,1830,1.0,1,first_feasible,1830.0,1830.0,0.004376133636428441,0.9204933296150699,0.42184991974317815,1828,out,weak,0,1830,0,0,0,0,0,0,1830,0,1830,0,0,0,0,0,0,1830,compress,10050007.0,18.93925212486647,6.5581544487938945,5.985450495244069,3.7742930234214813,3.780644063837238,750.0,750.0,1.0,1.0,compress_no_improvement_patience,0.0,1830.0,0.004308808503560311,0.920429628113671,0.4216968741791437,1845.0,out,weak,253.0,268.0,0.0,0.0,0.0,43.0,186.0,0.0,750.0,253.0,268.0,0.0,0.0,0.0,43.0,186.0,0.0,750.0,1830.0,1845.0,1.0,0.0,False,5,0,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/ego_network/density/grid_005_seed_50007.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/matrices/ego_network/density/grid_005_seed_50007.npz,,,0.9206736011852727,0.42130982367758185,2.1928429423459246,503,0.9542743538767395,1.0,10000,0.9443339960238568
True,1180931cc2e344e4b04f7f05f76a2661,ego_depletion,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/ego_network/clustering/grid_054_seed_2540007.pkl,0.0005861944575111066,9162,1359649135,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/ego_network.pkl,503,2933,clustering,0.4504490218061183,2540007,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.011615565570719112,0.9204303669967919,0.42169695658445117,55464,23389,0.44792805231164545,0.011615565570719112,0.9204303669967919,0.44792805231164545,52149.0,23359.0,0.0025209694944728356,0.9863954673922707,0.0,0.0,22.0,True,0.0,0.0,0.026231095727194287,0.0,,0.0,,attain,2540007,2.6431871668901294,55.07285770925208,55.07285770925208,0.026730310262529835,0.026730310262529835,108,108,1.0,1,first_feasible,108.0,392.0,0.011615565570719112,0.9204303669967919,0.4479959594501966,392,out,weak,0,0,0,0,108,0,0,0,108,0,0,0,0,108,0,0,0,108,compress,12540007.0,39.018599291099235,0.01911812650567414,0.01692513993614374,0.040954580352729406,0.042287603011287235,893.0,755.0,0.845464725643897,1.0,compress_no_improvement_patience,0.0,22.0,0.011615565570719112,0.9204235887098142,0.4479664956870882,20.0,out,weak,0.0,0.0,0.0,0.0,437.0,0.0,220.0,236.0,893.0,0.0,0.0,0.0,0.0,304.0,0.0,215.0,236.0,755.0,392.0,22.0,0.0,370.0,True,54,0,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/ego_network/clustering/grid_054_seed_2540007.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/matrices/ego_network/clustering/grid_054_seed_2540007.npz,0.0,0.0,0.9204303669967919,0.44792805231164545,5.831013916500995,503,0.9960238568588469,1.0,10000,0.0
True,6eff825079f246cfb7228821762dabd7,ego_depletion,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/ego_network/degree_gini/grid_041_seed_1410007.pkl,0.0005797563582591671,4877,3704856990,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/ego_network.pkl,503,2933,degree_gini,0.6604541544021609,1410007,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.011615565570719112,0.9204303669967919,0.42169695658445117,55464,23389,0.6626412679734752,0.011615565570719112,0.6626412679734752,0.42169540229885055,45936.0,19371.0,0.002187113571314292,0.9339871830332611,2.17531852236202e-07,0.00046640310058596523,1280.0,True,0.0,-0.2577890990233167,-1.5542856006134365e-06,,1.5542856006134365e-06,,0.00046640310058596523,attain,1410007,18.718340083025396,35.733822282993245,32.61329478448629,0.08728318958483004,0.08728318958483004,640,640,1.0,1,first_feasible,640.0,1280.0,0.011615565570719112,0.6626412679734752,0.42169540229885055,1280,out,weak,0,0,640,0,0,0,0,0,640,0,0,640,0,0,0,0,0,640,compress,11410007.0,18.64090433297679,0.9207999380390608,0.8663806617009522,2.6184811129108017,2.651267969971115,428.0,426.0,0.9953271028037384,1.0,compress_no_improvement_patience,0.0,1280.0,0.011615565570719112,0.6626412679734752,0.42169540229885055,1280.0,out,weak,0.0,0.0,384.0,0.0,0.0,0.0,44.0,0.0,428.0,0.0,0.0,382.0,0.0,0.0,0.0,44.0,0.0,426.0,1280.0,1282.0,1.0,0.0,False,41,0,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/ego_network/degree_gini/grid_041_seed_1410007.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/matrices/ego_network/degree_gini/grid_041_seed_1410007.npz,0.0,0.0,0.6626412679734752,0.42169540229885055,5.831013916500995,503,1.0,1.0,10000,1.0
True,5e89d6d28adb4d809557576c67340ca5,ego_depletion,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/ego_network/density/grid_077_seed_770007.pkl,0.00017783049645114958,7319,1462098048,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/ego_network.pkl,503,2933,density,0.016132729959332105,770007,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.011615565570719112,0.9204303669967919,0.42169695658445117,55464,23389,0.01607090524581594,0.01607090524581594,0.9203105663701381,0.4217080591523385,70665.0,29800.0,6.182471351616481e-05,0.9409551410063792,0.0016057874134226442,0.039933542217947725,1125.0,True,0.004455339675096828,-0.00011980062665384317,1.1102567887333326e-05,0.00011980062665384317,1.1102567887333326e-05,0.039933542217947725,0.003331609123236233,attain,770007,6.5819625000003725,1.0,0.8587340256999999,0.0807277314043374,0.0807277314043374,1125,1125,1.0,1,first_feasible,1125.0,1125.0,0.01607090524581594,0.9203105663701381,0.4217080591523385,1125,out,weak,1125,0,0,0,0,0,0,0,1125,1125,0,0,0,0,0,0,0,1125,compress,10770007.0,32.93718062504195,0.28995944292343506,0.23428225556442864,2.313506908363417,2.3321621827588834,1439.0,1433.0,0.9958304378040306,1.0,compress_no_improvement_patience,0.0,1125.0,0.01607882584968278,0.9203380701015582,0.42167208940444195,1127.0,out,weak,730.0,709.0,0.0,0.0,0.0,0.0,0.0,0.0,1439.0,724.0,709.0,0.0,0.0,0.0,0.0,0.0,0.0,1433.0,1125.0,1140.0,1.0,0.0,False,77,0,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/ego_network/density/grid_077_seed_770007.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/matrices/ego_network/density/grid_077_seed_770007.npz,,,0.9203105663701381,0.4217080591523385,8.067594433399602,503,0.9980119284294234,1.0,10000,0.0
True,307bc015ded84a1f8eb22949083f66cb,ego_depletion,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/ego_network/clustering/grid_066_seed_2660007.pkl,0.0007293670896901829,9299,2829946406,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/ego_network.pkl,503,2933,clustering,0.5271211957305639,2660007,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.011615565570719112,0.9204303669967919,0.42169695658445117,55464,23389,0.5246385241814858,0.011615565570719112,0.9204303669967919,0.5246385241814858,48136.0,25254.0,0.002482671549078108,0.9714103912814249,0.0,0.0,256.0,True,0.0,0.0,0.10294156759703466,0.0,,0.0,,attain,2660007,86.25723558291793,221.38273456835128,153.6047192365312,0.1344747343092666,0.13460620525059666,2497,2497,1.0,1,first_feasible,2497.0,1974.0,0.011615565570719112,0.9204303669967919,0.5245629244328854,1972,out,weak,0,0,0,0,2497,0,0,0,2497,0,0,0,0,2497,0,0,0,2497,compress,12660007.0,137.89956637495197,0.01147087590340461,0.007958979619503929,0.435686813690188,0.470588058977883,2476.0,2090.0,0.8441033925686591,1.0,compress_no_improvement_patience,0.0,256.0,0.011615565570719112,0.9204778150056363,0.5246571895835954,212.0,out,weak,0.0,0.0,0.0,0.0,1176.0,0.0,1107.0,193.0,2476.0,0.0,0.0,0.0,0.0,806.0,0.0,1091.0,193.0,2090.0,1974.0,256.0,0.0,1718.0,True,66,0,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/ego_network/clustering/grid_066_seed_2660007.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/matrices/ego_network/clustering/grid_066_seed_2660007.npz,0.0,0.0,0.9204303669967919,0.5246385241814858,5.831013916500995,503,1.0,1.0,10000,0.007952286282306162
True,0335b8c55f874d7bb431163ffc7bfa1a,ego_depletion,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/ego_network/degree_gini/grid_093_seed_1930007.pkl,0.000942248804552547,9046,315010247,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/ego_network.pkl,503,2933,degree_gini,0.9648745676967753,1930007,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.011615565570719112,0.9204303669967919,0.42169695658445117,55464,23389,0.9625425083322094,0.011615565570719112,0.9625425083322094,0.42169701176990315,63382.0,26728.0,0.0023320593645658194,0.9958849806177569,2.742271299821972e-10,1.6559804648068684e-05,1186.0,True,0.0,0.04211214133541752,5.51854519859063e-08,,5.51854519859063e-08,,1.6559804648068684e-05,attain,1930007,19.281943917041644,31.798919370441165,29.91960323564809,0.08121967129904868,0.08121967129904868,599,599,1.0,1,first_feasible,599.0,1190.0,0.011615565570719112,0.9625330187304404,0.4217150979153506,1190,out,weak,0,0,599,0,0,0,0,0,599,0,0,599,0,0,0,0,0,599,compress,11930007.0,34.256427832879126,1.0,0.912673,2.4057284013150104,2.4059328918603975,632.0,632.0,1.0,1.0,compress_no_improvement_patience,0.0,1186.0,0.011615565570719112,0.9625452196470003,0.4216977709066242,1176.0,out,weak,0.0,0.0,596.0,0.0,0.0,0.0,36.0,0.0,632.0,0.0,0.0,596.0,0.0,0.0,0.0,36.0,0.0,632.0,1190.0,1186.0,0.0,4.0,True,93,0,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/ego_network/degree_gini/grid_093_seed_1930007.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/matrices/ego_network/degree_gini/grid_093_seed_1930007.npz,0.0,0.0,0.9625425083322094,0.42169701176990315,5.831013916500995,503,0.9980119284294234,1.0,10000,0.0
True,f9e923546e7342e49892058031f6bdb4,ego_depletion,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/ego_network/clustering/grid_016_seed_2160007.pkl,0.000360510216480643,2517,3848441149,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/ego_network.pkl,503,2933,clustering,0.207653804378707,2160007,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.011615565570719112,0.9204303669967919,0.42169695658445117,55464,23389,0.21016414469693032,0.011615565570719112,0.9204303669967919,0.21016414469693032,57693.0,12125.0,0.0025103403182233086,0.9822365232647697,0.0,0.0,494.0,True,0.0,0.0,-0.21153281188752085,0.0,,0.0,,attain,2160007,4.393769958987832,57.061109875360366,57.061109875360366,0.04377770201159223,0.04377770201159223,161,161,1.0,1,first_feasible,161.0,642.0,0.011615565570719112,0.9204303669967919,0.2101183410668681,642,out,weak,0,0,0,0,161,0,0,0,161,0,0,0,0,161,0,0,0,161,compress,12160007.0,30.57870512478985,0.020745201101901953,0.019519159716779547,0.8201632527212799,0.8403268832135384,586.0,555.0,0.947098976109215,1.0,compress_no_improvement_patience,0.0,494.0,0.011615565570719112,0.9203842746453432,0.2101444361565064,400.0,out,weak,0.0,0.0,0.0,0.0,361.0,0.0,222.0,3.0,586.0,0.0,0.0,0.0,0.0,332.0,0.0,220.0,3.0,555.0,642.0,494.0,0.0,148.0,True,16,0,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/ego_network/clustering/grid_016_seed_2160007.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/matrices/ego_network/clustering/grid_016_seed_2160007.npz,0.0,0.0,0.9204303669967919,0.21016414469693032,5.831013916500995,503,0.9980119284294234,0.997716894977169,10000,1.0
True,6855dc5d3dce40f29b6e9773fb1362f6,ego_depletion,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/ego_network/degree_gini/grid_005_seed_1050007.pkl,0.0007174365345959284,7248,3420605313,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/ego_network.pkl,503,2933,degree_gini,0.4497015605828125,1050007,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.011615565570719112,0.9204303669967919,0.42169695658445117,55464,23389,0.45150033993109195,0.011615565570719112,0.45150033993109195,0.4217131583273963,36494.0,15390.0,0.0017987793482794334,0.768152545177769,2.363658256941928e-05,0.004861746863979991,2246.0,True,0.0,-0.4689300270657,1.6201742945143316e-05,,1.6201742945143316e-05,,0.004861746863979991,attain,1050007,28.140801625093445,165.59626956834944,142.20315120733113,0.15309722155680403,0.1532128589300001,1123,1123,1.0,1,first_feasible,1123.0,2246.0,0.011615565570719112,0.452048025518895,0.4217131583273963,2244,out,weak,0,0,1123,0,0,0,0,0,1123,0,0,1123,0,0,0,0,0,1123,compress,11050007.0,68.50319100008346,1.5291978235139045,1.2737789769854402,4.594619297638675,4.702706198301129,1306.0,1303.0,0.9977029096477795,1.0,compress_no_improvement_patience,0.0,2246.0,0.011615565570719112,0.4516697971055359,0.4216940055316702,2246.0,out,weak,0.0,0.0,1037.0,0.0,0.0,0.0,269.0,0.0,1306.0,0.0,0.0,1034.0,0.0,0.0,0.0,269.0,0.0,1303.0,2246.0,2282.0,1.0,0.0,False,5,0,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/ego_network/degree_gini/grid_005_seed_1050007.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/matrices/ego_network/degree_gini/grid_005_seed_1050007.npz,0.0,0.0,0.45150033993109195,0.4217131583273963,5.831013916500995,503,1.0,1.0,10000,1.0
True,7b8dd04caf5845ec9260e853d66bffe4,ego_depletion,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/ego_network/density/grid_046_seed_460007.pkl,0.00016909154615238656,5977,3318208901,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/ego_network.pkl,503,2933,density,0.011040653739441098,460007,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.011615565570719112,0.9204303669967919,0.42169695658445117,55464,23389,0.01110468662130801,0.01110468662130801,0.9204232522128286,0.4217063349528329,52897.0,22307.0,6.403288186691142e-05,0.9745628561686879,1.3544289868200516e-05,0.0028142190147965565,129.0,True,-0.0005108789494111029,-7.1147839633134424e-06,9.37836838171835e-06,7.1147839633134424e-06,9.37836838171835e-06,0.002371594654437814,0.0028142190147965565,attain,460007,2.8902191668748856,1.0,1.0,0.008830314867186696,0.008830314867186696,129,129,1.0,1,first_feasible,129.0,129.0,0.01110468662130801,0.9204232522128286,0.4217063349528329,129,out,weak,0,129,0,0,0,0,0,0,129,0,129,0,0,0,0,0,0,129,compress,10460007.0,13.090749375056475,0.5868721751921867,0.5356223887491786,0.2640019785944315,0.298776362221102,699.0,697.0,0.9971387696709585,1.0,compress_no_improvement_patience,0.0,129.0,0.01110468662130801,0.9204232522128286,0.4217063349528329,129.0,out,weak,231.0,246.0,0.0,0.0,0.0,32.0,190.0,0.0,699.0,229.0,246.0,0.0,0.0,0.0,32.0,190.0,0.0,697.0,129.0,145.0,1.0,0.0,False,46,0,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/ego_network/density/grid_046_seed_460007.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/matrices/ego_network/density/grid_046_seed_460007.npz,,,0.9204232522128286,0.4217063349528329,5.574552683896621,503,1.0,1.0,10000,1.0
True,b8dafd7e24364bca84025ada0edb47fc,ego_depletion,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/ego_network/density/grid_064_seed_640007.pkl,0.0007744998573055768,7650,2768258367,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/ego_network.pkl,503,2933,density,0.013997343157442327,640007,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.011615565570719112,0.9204303669967919,0.42169695658445117,55464,23389,0.013932342201769463,0.013932342201769463,0.9203460306947402,0.4217961019961932,63571.0,26814.0,6.500095567286458e-05,0.989296673323329,0.0016754189643328195,0.02975111358370355,585.0,True,0.0023167766310503504,-8.433630205173515e-05,9.914541174205205e-05,8.433630205173515e-05,9.914541174205205e-05,0.028112100683911713,0.02975111358370355,attain,640007,3.4421663340181112,1.0,0.9409,0.04407944410363805,0.04407944410363805,585,585,1.0,1,first_feasible,585.0,585.0,0.013932342201769463,0.9203460306947402,0.4217961019961932,585,out,weak,585,0,0,0,0,0,0,0,585,585,0,0,0,0,0,0,0,585,compress,10640007.0,8.844768540933728,0.10455596385914401,0.0983767063950686,1.2051561392689674,1.229850388054101,493.0,487.0,0.9878296146044625,1.0,compress_no_improvement_patience,0.0,585.0,0.0139402628056363,0.9203619193927346,0.4216814437527511,587.0,out,weak,257.0,235.0,0.0,0.0,0.0,0.0,1.0,0.0,493.0,251.0,235.0,0.0,0.0,0.0,0.0,1.0,0.0,487.0,585.0,601.0,1.0,0.0,False,64,0,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/ego_network/density/grid_064_seed_640007.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/matrices/ego_network/density/grid_064_seed_640007.npz,,,0.9203460306947402,0.4217961019961932,6.99403578528827,503,0.9960238568588469,1.0,10000,0.0
True,8b6f156a67704f2387b353f352dd4c0e,ego_depletion,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/ego_network/density/grid_086_seed_860007.pkl,5.4098389417844016e-05,6669,2851754385,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/ego_network.pkl,503,2933,density,0.01761107466833272,860007,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.011615565570719112,0.9204303669967919,0.42169695658445117,55464,23389,0.017548097866981378,0.017548097866981378,0.9203008085542266,0.4216901751961302,73803.0,31122.0,6.297680135134223e-05,0.9584896010911423,0.0018691842730126885,0.04318614752178244,1498.0,True,0.0059325322962622655,-0.00012955844256534732,-6.7813883209422166e-06,0.00012955844256534732,6.7813883209422166e-06,0.04318614752178244,0.0020349288045366973,attain,860007,9.900595874991268,1.0,0.8079828447811299,0.10682093204291357,0.10682093204291357,1498,1498,1.0,1,first_feasible,1498.0,1498.0,0.017548097866981378,0.9203008085542266,0.4216901751961302,1498,out,weak,1498,0,0,0,0,0,0,0,1498,1498,0,0,0,0,0,0,0,1498,compress,10860007.0,11.686679500155151,0.16729714077246804,0.15740987975281517,3.078901372352281,3.095134412233577,451.0,446.0,0.9889135254988913,1.0,compress_no_improvement_patience,0.0,1498.0,0.017552058168914798,0.9203174455074608,0.42173571409217764,1499.0,out,weak,235.0,215.0,0.0,0.0,0.0,0.0,1.0,0.0,451.0,230.0,215.0,0.0,0.0,0.0,0.0,1.0,0.0,446.0,1498.0,1513.0,1.0,0.0,False,86,0,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/ego_network/density/grid_086_seed_860007.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/matrices/ego_network/density/grid_086_seed_860007.npz,,,0.9203008085542266,0.4216901751961302,8.809145129224651,503,0.9960238568588469,0.9959349593495935,10000,1.0
True,84acd5b001f648feb9fba42246436306,ego_depletion,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/ego_network/degree_gini/grid_062_seed_1620007.pkl,0.0005000162151320746,7621,4041487840,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/ego_network.pkl,503,2933,degree_gini,0.7833931674634476,1620007,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.011615565570719112,0.9204303669967919,0.42169695658445117,55464,23389,0.7856210842683415,0.011615565570719112,0.7856210842683415,0.42169763148591854,50918.0,21472.0,0.0022279168048939813,0.9514118370108052,4.1014928178813854e-08,0.0002025214264684452,636.0,True,0.0,-0.13480928272845039,6.749014673790299e-07,,6.749014673790299e-07,,0.0002025214264684452,attain,1620007,8.580359915969893,8.784265962933322,8.520737984045322,0.04331607890082533,0.04336866714693518,319,319,1.0,1,first_feasible,319.0,636.0,0.011615565570719112,0.7857444490913368,0.42169763148591854,634,out,weak,0,0,319,0,0,0,0,0,319,0,0,319,0,0,0,0,0,319,compress,11620007.0,20.154426667140797,0.3968733508210614,0.37341813578753663,1.3010572664078672,1.3556650228595386,480.0,477.0,0.99375,1.0,compress_no_improvement_patience,0.0,636.0,0.011615565570719112,0.7856210842683415,0.42169763148591854,636.0,out,weak,0.0,0.0,312.0,0.0,0.0,0.0,168.0,0.0,480.0,0.0,0.0,309.0,0.0,0.0,0.0,168.0,0.0,477.0,636.0,648.0,1.0,0.0,False,62,0,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/ego_network/degree_gini/grid_062_seed_1620007.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/matrices/ego_network/degree_gini/grid_062_seed_1620007.npz,0.0,0.0,0.7856210842683415,0.42169763148591854,5.831013916500995,503,1.0,1.0,10000,1.0
